source,target,type,mechanism,weight,confidence
event/259a0370,event/3a80d581,EMOTIONAL_TRIGGER,Threatening questions can trigger feelings of helplessness.,0.8,0.85
event/dc857b80,event/4789009d,EMOTIONAL_TRIGGER,The man's actions caused a strong emotional response in me.,0.8,0.85
event/ad9fa25a,event/92d5c1a0,EMOTIONAL_SUPPORT,Clinging indicates a need for emotional connection and support.,0.8,0.75
event/7a66ea7e,event/f10afe12,EMOTIONAL_TRIGGER,Questioning leads to uncertainty about living rights.,0.7,0.8
event/a40bbbe5,event/c4406c70,EMOTIONAL_APOLOGY,The speaker's request indicates vulnerability leading to a timid explanation.,0.7,0.8
event/634a0b39,event/330900e1,PHYSICAL_DETERIORATION,Both events describe the man's physical injuries.,0.8,0.9
event/6f922036,event/4b2b7b04,CONTRASTS,The absence of a hat contrasts with the presence of a rag.,0.8,0.9
event/54497bfd,event/14cc7149,EMOTIONAL_TRIGGER,The man's sudden movement evokes a strong emotional response.,0.8,0.85
event/472f7ead,event/5004b332,EMOTIONAL_TRIGGER,The tilting action caused a giddy emotional response.,0.7,0.8
event/92d5c1a0,event/b9931f87,EMOTIONAL_SUPPORT,Hope leads to protective actions for others.,0.7,0.8
event/c8ef63d9,event/11b8a93a,EMOTIONAL_TRIGGER,The man's action provokes a life-or-death contemplation.,0.8,0.85
event/14cc7149,event/7e42bd5f,EMOTIONAL_TRIGGER,The man's cry evokes a strong emotional response leading to the appearance of another man.,0.8,0.85
event/472f7ead,event/ad9fa25a,PHYSICAL_ACTION,Tilting prompts the narrator's physical response of clinging.,0.8,0.85
event/d83735eb,event/06fa367b,EMOTIONAL_TRIGGER,The reminder evokes a whimsical desire for transformation.,0.7,0.8
event/01a87a42,event/42ebf187,EXPECTATION_DISAPPOINTMENT,Expectation of valuables leads to disappointment upon finding only bread.,0.8,0.9
event/b17d766f,event/e03b7025,IDENTITY_CONFLICT,Pip's self-identification leads to confusion about his family name.,0.7,0.8
event/66940d31,event/6ede448a,PHYSICAL_ACTION,Starting indicates the initiation of a physical action.,0.8,0.9
event/cccf76a6,event/851ed7f7,EMOTIONAL_TRIGGER,The memorable afternoon evokes strong emotions related to loss.,0.8,0.85
event/e176cf95,event/971a9be1,PHYSICAL_ACTION,"Using legs implies movement, contrasting with his stillness.",0.7,0.8
event/5004b332,event/ad9fa25a,EMOTIONAL_TRIGGER,Giddiness triggered a physical response of clinging.,0.8,0.9
event/38afdaad,event/29562b8e,EMOTIONAL_CONFESSION,Narrator's feelings about mother lead to expressing indebtedness.,0.7,0.8
event/5004b332,event/92d5c1a0,EMOTIONAL_TRIGGER,Giddiness triggered feelings of hope for future attendance.,0.7,0.8
event/4cf2cced,event/7674fd0b,EMOTIONAL_TRIGGER,The sky's appearance evokes a strong emotional response in the narrator.,0.7,0.8
event/afa43b06,event/d90075b7,CONTRASTS,The convict contrasts his situation with the young man's presence.,0.8,0.9
event/53a8df5d,event/3a80d581,COMMUNICATION_BARRIER,Misunderstanding of basic concepts led to feelings of helplessness.,0.7,0.8
event/4e4735ab,event/791fb243,PHYSICAL_CONFRONTATION,Glaring indicates aggression leading to physical confrontation.,0.8,0.9
event/a40bbbe5,event/8d9c7b4d,PREVENTS,The speaker's request aims to prevent violence.,0.8,0.85
event/c15c5023,event/4d492d90,COMMUNICATION_BARRIER,The man's stare indicates a lack of understanding or communication.,0.7,0.8
event/eeb8d1cf,event/4cf2cced,CONTRASTS,The river's calmness contrasts with the sky's chaotic appearance.,0.8,0.9
event/ee56a4d3,event/c3d74bf8,EMOTIONAL_CONFESSION,Reflection leads to naive conclusions about parental figures.,0.7,0.8
event/01a87a42,event/dc857b80,EMOTIONAL_TRIGGER,The act of emptying pockets triggered a strong emotional response.,0.7,0.8
event/fa585dbd,event/73ef5f36,ENRAGES,Locking the door creates a false sense of security.,0.7,0.8
event/f10afe12,event/84cb3426,HUMANITY_QUESTIONING,Uncertainty about life leads to questioning identity or roles.,0.7,0.8
event/83d241cc,event/cde886cd,COMMUNICATION_BARRIER,Distance complicates the man's request for directions.,0.7,0.8
event/dab6faca,event/afa43b06,PHYSICAL_CONFRONTATION,Threat of violence leads to revealing presence of others.,0.8,0.9
event/74763c3e,event/971a9be1,EMOTIONAL_TRIGGER,The sight of him suggests emotional distress or discomfort.,0.7,0.8
event/a13c3531,event/1150011f,EMOTIONAL_TRIGGER,The man's threat provoked a response to continue the conversation.,0.7,0.8
event/4cf2cced,event/e3ce79f1,EMOTIONAL_TRIGGER,The sky's appearance evokes a negative emotional response towards the beacon.,0.7,0.8
event/330900e1,event/43bcb6ef,PHYSICAL_DETERIORATION,Injury from flints caused the man's limp.,0.9,0.95
event/07ee8f41,event/6eb6b4b4,HUMANITY_QUESTIONING,The observation raises existential questions about identity and morality.,0.8,0.85
event/7335f94f,event/11b8a93a,EMOTIONAL_TRIGGER,The man's gaze instills fear about life and death.,0.8,0.9
event/908fb546,event/3e82d3ad,PRECEDES,Demanding leads to threatening behavior.,0.8,0.85
event/45b40fde,event/c3d74bf8,EMOTIONAL_TRIGGER,Tombstone ideas evoke childhood memories influencing conclusions.,0.7,0.8
event/50e1756f,event/dc857b80,EMOTIONAL_TRIGGER,The church's self-awareness triggered the man's overwhelming emotions.,0.7,0.8
event/92d5c1a0,event/a07696fc,EMOTIONAL_SUPPORT,Hope expressed leads to supportive physical interaction.,0.7,0.8
event/940c0686,event/ad3c2706,EMOTIONAL_TRIGGER,The man's limp evokes a strong emotional response in the narrator.,0.8,0.85
event/d90075b7,event/fa585dbd,IDENTITY_CONFLICT,The convict's comparison triggers the boy's defensive action.,0.7,0.8
event/1150011f,event/7e04e8df,COMMUNICATION_BARRIER,The conversation pursuit contrasts with his distracted observation.,0.6,0.7
event/6ebeec43,event/ee56a4d3,EMOTIONAL_TRIGGER,Absence of parents triggers reflections on childhood fantasies.,0.8,0.85
event/e03b7025,event/6ebeec43,FAMILY_BACKGROUND_REACTION,Family name implies absence of parental figures.,0.8,0.9
event/ad9fa25a,event/4e86e5e2,EMOTIONAL_SUPPORT,Clinging indicates a need for emotional reassurance and support.,0.8,0.85
event/0b21f30f,event/d83c9303,COMMUNITY_GATHERING,His return indicates a gathering context for the speaker's reference.,0.7,0.8
event/4789009d,event/f5d426e6,EMOTIONAL_TRIGGER,"Trembling indicates anxiety, triggering a response in the man.",0.7,0.8
event/3b2c34cb,event/25c1e993,EMOTIONAL_TRIGGER,"The tombstone evokes strong emotions, triggering the desire to suppress tears.",0.8,0.9
event/4142d1d4,event/634a0b39,PHYSICAL_DETERIORATION,Broken shoes contributed to the man's lameness.,0.8,0.85
event/436ae544,event/4671b937,CONFUSES,Muttering may create ambiguity about his decision-making.,0.7,0.8
event/3cb6e82e,event/93a78db4,INTERUPTION_RESPONSE,The question caused the man to halt his actions.,0.8,0.9
event/4a853fd7,event/77da28e9,PRECEDES,His action of turning prompted my glance over my shoulder.,0.8,0.9
event/4d492d90,event/cde886cd,PRECEDES,Pointing indicates the village's location before confirming its distance.,0.8,0.85
event/2870468f,event/67e5ad2b,BELIEF_DISMISSAL,The narrator's belief affects their perception of strength.,0.7,0.8
event/791fb243,event/d40a45ee,PHYSICAL_ACTION,The man's action prompted his verbal command.,0.8,0.85
event/ea989bc2,event/5d85d43b,EMOTIONAL_TRIGGER,Introduction of a character evokes a strong emotional response.,0.7,0.8
event/1f311084,event/77da28e9,PHYSICAL_ACTION,Jumping over the wall prompts a glance back.,0.7,0.8
event/3cb6e82e,event/5d85d43b,EMOTIONAL_TRIGGER,The man's question triggers a dark emotional response.,0.7,0.8
event/1950f794,event/c8ef63d9,PHYSICAL_ACTION,Looking down indicates a physical response to an action.,0.7,0.8
event/d83735eb,event/5249725d,IDENTITY_CONFLICT,The listener's reminder triggers a desire for transformation.,0.7,0.8
event/84cb3426,event/cc8e470d,EMOTIONAL_TRIGGER,The comment provoked a physical reaction from the man.,0.7,0.8
event/bcdb90bb,event/4142d1d4,ANGER_MISPLACEMENT,Anger may lead to neglecting personal appearance.,0.7,0.6
event/9b820157,event/4e86e5e2,EMOTIONAL_TRIGGER,Fear triggered a hopeful response about health.,0.7,0.8
event/9f2fbb8c,event/54497bfd,EMOTIONAL_TRIGGER,The narrator's perception evokes a sudden emotional response in the man.,0.7,0.8
event/9f2fbb8c,event/14cc7149,EMOTIONAL_TRIGGER,The narrator's perception evokes a strong emotional response in the man.,0.8,0.75
event/c4761f76,event/0d398d62,IDENTITY_CONFLICT,Pip's name change reflects his evolving identity and familial relationships.,0.7,0.8
event/c4406c70,event/555154c1,EMOTIONAL_TRIGGER,The speaker's timid explanation triggered a surprised reaction.,0.7,0.8
event/66eba364,event/f20e1e1e,COMMUNICATION_BARRIER,Looking over the shoulder indicates distraction affecting communication.,0.7,0.8
event/c8ef63d9,event/7335f94f,PHYSICAL_ACTION,The man's action influences the narrator's perception.,0.8,0.9
event/93908411,event/d385a7e1,EMOTIONAL_TRIGGER,The man's growl instigated fear in the speaker.,0.8,0.85
event/72d4013c,event/81f0fce2,PHYSICAL_ACTION,Limping indicates a physical action affecting his movement through obstacles.,0.8,0.9
event/406323a2,event/551fcc32,PRECEDES,"Event A occurs before Event B, indicating a sequence.",0.8,0.9
event/e03b7025,event/528b0aa9,IDENTITY_CONFLICT,The father's name creates confusion about parental identity.,0.7,0.8
event/34fcf60e,event/0b871d5a,EMOTIONAL_TRIGGER,Georgiana's death triggers the narrator's perception of the marshes.,0.7,0.8
event/9f2fbb8c,event/74ccc784,EMOTIONAL_TRIGGER,The narrator's perception evokes a threatening response from the man.,0.7,0.8
event/551fcc32,event/81f0fce2,PRECEDES,Event A describes the action occurring in Event B.,0.9,0.95
event/0bb472f7,event/afa43b06,ENRAGES,The convict's demands provoke Pip's anger and frustration.,0.7,0.8
event/2dc1096d,event/eb57ee77,HUMOROUS_REMARK,The high tombstone setting adds humor to the man's address.,0.7,0.8
event/29562b8e,event/df67b8c3,BELIEF_DISMISSAL,Indebtedness may lead to questioning or dismissing beliefs about brothers.,0.7,0.8
event/775a9234,event/791fb243,PHYSICAL_SENSATION,"Chattering teeth indicate fear or cold, prompting physical action.",0.7,0.8
event/0b871d5a,event/92dc74d9,EMOTIONAL_TRIGGER,The narrator's description triggered Pip's fear and emotional response.,0.8,0.85
event/01a87a42,event/50e1756f,SOCIAL_RECONNECTION,The act of theft prompted community support and unity.,0.7,0.8
event/e537167d,event/3b2c34cb,EMOTIONAL_TRIGGER,The man's statement provokes a strong emotional response.,0.7,0.8
event/472f7ead,event/71084a15,PHYSICAL_ACTION,Tilting prompts a request to maintain balance.,0.7,0.8
event/e537167d,event/bad18f59,EMOTIONAL_APOLOGY,Hope expressed as a response to a threatening statement.,0.7,0.8
event/de543a5d,event/4e4735ab,EMOTIONAL_TRIGGER,"Shivering may trigger anger, leading to glaring.",0.7,0.8
event/51d3af81,event/92dc74d9,EMOTIONAL_TRIGGER,The sight of cattle triggered Pip's fear and emotional response.,0.7,0.8
event/14cc7149,event/bcdb90bb,EMOTIONAL_TRIGGER,Crying can trigger feelings of anger in response.,0.7,0.8
event/0b21f30f,event/c93a13e6,EMOTIONAL_TRIGGER,His return triggered questions about family identity.,0.8,0.9
event/31475e77,event/38afdaad,PERCEPTION_SHIFT,The inscription altered the narrator's view of their mother.,0.7,0.8
event/c4406c70,event/0b21f30f,COMMUNICATION_BARRIER,"Timid explanation may hinder effective communication, prompting a return.",0.7,0.8
event/d3581bfa,event/e420ea7a,PHYSICAL_ACTION,Hiding involves a physical action of covering oneself.,0.8,0.9
event/da957808,event/6ede448a,EMOTIONAL_TRIGGER,Holding onto the tombstone evokes a strong emotional response.,0.7,0.8
event/29562b8e,event/13bb3b67,BELIEF_DISMISSAL,Indebtedness leads to questioning the narrator's beliefs about their brothers.,0.7,0.8
event/4789009d,event/eb57ee77,EMOTIONAL_TRIGGER,"Trembling indicates fear, triggering a derogatory remark.",0.7,0.8
event/36504ca4,event/0f9fae9a,EMOTIONAL_SUPPORT,The narrator's actions show care for the boy's well-being.,0.8,0.85
event/b1a47ed2,event/92dc74d9,EMOTIONAL_TRIGGER,The river's appearance triggered Pip's fear and emotional response.,0.8,0.85
event/e420ea7a,event/1e48ec60,PHYSICAL_ACTION,The boy's action prompts the young man's movement.,0.7,0.8
event/ccc343f0,event/bad18f59,EMOTIONAL_APOLOGY,Hope expressed as a response to another's desire.,0.7,0.8
event/cbb4ce81,event/eecb67a7,NARRATIVE_COMPOSITE,"The name Philip is shortened to Pip, creating a narrative identity.",0.8,0.9
event/4d492d90,event/d65ae510,PHYSICAL_ACTION,Pointing led to a physical reaction from the man.,0.8,0.9
event/27304873,event/34fcf60e,NOSTALGIA_INDUCEMENT,Reflection evokes memories of loss and past experiences.,0.7,0.8
event/31475e77,event/5624f7e6,NOSTALGIA_INDUCEMENT,The inscription evokes memories leading to the grave arrangement.,0.7,0.8
event/81f0fce2,event/e47bc000,PRECEDES,Navigating obstacles leads to the decision to return home.,0.8,0.85
event/80bca57a,event/84cb3426,CONFUSES,The identification leads to a misunderstanding or surprise response.,0.7,0.8
event/137cd39a,event/d83c9303,COMMUNICATION_BARRIER,Acknowledgment may not bridge the gap in understanding or context.,0.7,0.8
event/dab6faca,event/d90075b7,CONFLICT_OF_INTEREST,The convict's threat creates a power dynamic affecting his comparison.,0.7,0.8
event/38afdaad,event/25a6f65b,NOSTALGIA_INDUCEMENT,Mother's condition evokes memories of lost siblings.,0.7,0.8
event/6ebeec43,event/7a5f0777,FAMILY_BACKGROUND_REACTION,Absence of parents influences narrator's perception of father.,0.8,0.9
event/cc8e470d,event/7335f94f,EMOTIONAL_TRIGGER,The man's grip evokes a strong emotional response in the narrator.,0.8,0.85
event/73ef5f36,event/847c1aa3,CRUELTY_PLEASURE,The boy's false sense of safety leads to his violent tearing.,0.8,0.9
event/847c1aa3,event/36504ca4,PHYSICAL_CONFRONTATION,The young man's aggression directly threatens the boy's safety.,0.85,0.9
event/eecb67a7,event/b17d766f,NARRATIVE_COMPOSITE,The infant tongue's limitation shaped the narrator's identity as Pip.,0.8,0.9
event/de543a5d,event/791fb243,PHYSICAL_SENSATION,Shivering indicates a physical response leading to a confrontational action.,0.7,0.8
event/11b8a93a,event/53a8df5d,COMMUNICATION_BARRIER,Misunderstanding arises from unclear communication about life and knowledge.,0.7,0.8
event/aac65812,event/04cffd6d,CONTRASTS,The marshes' appearance contrasts with the narrator's limited visibility.,0.7,0.8
event/8d9c7b4d,event/cde886cd,COMMUNICATION_BARRIER,Miscommunication about the village's location.,0.7,0.8
event/4789009d,event/2870468f,EMOTIONAL_TRIGGER,"Trembling suggests anxiety, triggering a judgment about the subjects' appearance.",0.7,0.8
event/791fb243,event/a40bbbe5,PHYSICAL_CONFRONTATION,The man's action directly threatened the speaker's safety.,0.8,0.9
event/137cd39a,event/436ae544,COMMUNICATION_BARRIER,Acknowledgment may lead to unclear or muted responses.,0.7,0.8
event/fb74b832,event/dab6faca,PHYSICAL_CONFRONTATION,Physical hold indicates a direct confrontation leading to threats.,0.8,0.9
event/34fcf60e,event/98750389,EMOTIONAL_TRIGGER,Georgiana's death triggers the narrator's perception of desolation.,0.8,0.9
event/92dc74d9,event/14cc7149,EMOTIONAL_CONTAGION,Pip's fear triggers emotional response in the man.,0.7,0.8
event/11b8a93a,event/3a80d581,EMOTIONAL_TRIGGER,The statement provoked feelings of helplessness.,0.8,0.9
event/fb74b832,event/0bb472f7,PHYSICAL_CONFRONTATION,Physical restraint leads to a demand for resources.,0.8,0.9
event/13bb3b67,event/5471ff4f,CONFUSES,The narrator's belief creates confusion about the brothers' actions.,0.7,0.8
event/c02405c7,event/e176cf95,PHYSICAL_ACTION,The action of approaching the wall enabled physical movement.,0.7,0.8
event/cde886cd,event/01b45407,COMMUNICATION_BARRIER,Distance may hinder effective communication between the man and the observer.,0.7,0.8
event/fb74b832,event/d3a42f5d,EMOTIONAL_TRIGGER,Physical hold evokes fear in response.,0.7,0.8
event/cf519e83,event/0f9fae9a,EMOTIONAL_SUPPORT,The narrator's struggle leads to providing food as support.,0.7,0.8
event/83becb47,event/04cffd6d,EMOTIONAL_TRIGGER,The narrator's action evokes a visual response.,0.7,0.8
event/dd507b69,event/ee56a4d3,NOSTALGIA_INDUCEMENT,The father's burial prompts reflections on childhood perceptions of parents.,0.8,0.85
event/29562b8e,event/ce0ab9ee,BELIEF_DISMISSAL,Indebtedness leads to questioning the validity of beliefs.,0.7,0.8
event/d83c9303,event/436ae544,HUMOROUS_REMARK,The phrase is a humorous way to refer to someone's absence.,0.7,0.8
event/cc8e470d,event/68c6b052,EMOTIONAL_TRIGGER,The man's action triggers a feeling of helplessness in the narrator.,0.8,0.9
event/634a0b39,event/43bcb6ef,PHYSICAL_DETERIORATION,Laming by stones leads to limping.,0.9,0.95
event/6ede448a,event/66eba364,PHYSICAL_ACTION,The run prompts him to check for any following presence.,0.8,0.85
event/3a80d581,event/472f7ead,EMOTIONAL_DESPAIR,Helplessness leads to aggressive actions in characters.,0.7,0.8
event/98750389,event/b1a47ed2,PERCEPTION_SHIFT,Change in perception from wilderness to river.,0.8,0.85
event/406323a2,event/1150011f,ENCOURAGES,Event A prompts Event B through engagement.,0.8,0.85
event/4a853fd7,event/971a9be1,EMOTIONAL_TRIGGER,His action triggered a self-soothing response.,0.7,0.8
event/b17d766f,event/c4761f76,NAMING_CONVENTION,Self-identification leads to public recognition of the name.,0.8,0.9
event/1d560019,event/2870468f,CONFUSES,The man's comment leads to a misunderstanding about the subjects' appearance.,0.7,0.8
event/d385a7e1,event/83d241cc,EMOTIONAL_TRIGGER,The speaker's terror prompted the man's request for information.,0.7,0.8
event/5d85d43b,event/cc8e470d,EMOTIONAL_TRIGGER,The man's dark look triggers a physical response towards the narrator.,0.7,0.8
event/3b2c34cb,event/da957808,EMOTIONAL_TRIGGER,Grief triggers the need for physical connection to the tombstone.,0.8,0.9
event/bad18f59,event/25c1e993,EMOTIONAL_TRIGGER,Hope expression triggered emotional response of wanting to cry.,0.8,0.9
event/259a0370,event/908fb546,EMOTIONAL_TRIGGER,Threat perception triggers a defensive demand for resources.,0.7,0.8
event/69ebf212,event/31475e77,IMAGINARY_CONSTRUCTION,Narrator's imagination shapes perception of reality.,0.7,0.8
event/4d492d90,event/01b45407,COMMUNICATION_BARRIER,Pointing indicates a lack of verbal clarity.,0.7,0.8
event/77da28e9,event/83becb47,PRECEDES,Looking over the shoulder prompts the narrator's action.,0.8,0.9
event/54497bfd,event/bcdb90bb,ANGER_MISPLACEMENT,The man's sudden movement triggers an emotional response of anger.,0.7,0.8
event/8d9c7b4d,event/3f8a01a5,COMMUNICATION_BARRIER,Misunderstanding in directions led to unclear location description.,0.7,0.8
event/791fb243,event/940c0686,PHYSICAL_ACTION,The man's action of seizing indicates a physical confrontation.,0.8,0.85
event/6e01ea97,event/4e4735ab,EMOTIONAL_TRIGGER,"Nettle sting causes pain, leading to anger and glaring.",0.8,0.9
event/97eb5c67,event/4671b937,DECISION_MAKING,Considering leads to uncertainty in decision-making.,0.7,0.8
event/0bb472f7,event/d90075b7,CONFLICT_OF_INTEREST,The convict's demands create tension with the young man's presence.,0.7,0.8
event/68c6b052,event/259a0370,EMOTIONAL_TRIGGER,The narrator's helpless gaze triggers the listener's feelings of threat.,0.7,0.8
event/2dc1096d,event/1d560019,HUMOROUS_REMARK,The comment humorously contrasts Pip's appearance with the setting.,0.7,0.8
event/6cab01b7,event/68c6b052,EMOTIONAL_TRIGGER,The man's approach evokes a helpless emotional response in the narrator.,0.8,0.85
event/6c6aba38,event/e537167d,EMOTIONAL_TRIGGER,Threatening gesture triggers aggressive thoughts about eating.,0.7,0.8
event/634a0b39,event/60ee9681,PHYSICAL_DETERIORATION,Injury from stones leads to further physical harm from briars.,0.8,0.75
event/14cc7149,event/74ccc784,EMOTIONAL_TRIGGER,The man's cry triggered a violent emotional response.,0.8,0.85
event/c8ef63d9,event/53a8df5d,COMMUNICATION_BARRIER,Physical action hinders effective communication.,0.7,0.8
event/31475e77,event/29562b8e,BELIEF_DISMISSAL,"The inscription challenges the narrator's beliefs, leading to indebtedness.",0.7,0.8
event/6ebeec43,event/528b0aa9,EMOTIONAL_DESPAIR,Absence of parental figures leads to emotional distress and longing.,0.8,0.9
event/a07696fc,event/fb74b832,PHYSICAL_ACTION,The dip and roll directly led to him holding my arms.,0.8,0.9
event/51d3af81,event/54497bfd,EMOTIONAL_TRIGGER,The sight of cattle triggers a man's reaction from the graves.,0.7,0.8
event/4671b937,event/84cb3426,CONFUSES,Uncertainty in decision-making leads to ambiguous responses.,0.7,0.8
event/bc0bbd0f,event/a13c3531,COMMUNICATION_BARRIER,The narrator's question leads to a hostile response from the man.,0.7,0.8
event/d3a42f5d,event/afa43b06,EMOTIONAL_TRIGGER,Fearful terms trigger the convict's revelation of companionship.,0.7,0.8
event/1802e08c,event/4789009d,EMOTIONAL_TRIGGER,The sight of the steeple evokes a strong emotional response.,0.7,0.8
event/847c1aa3,event/b9931f87,PREVENTS,The narrator intervenes to stop the young man's violent action.,0.9,0.95
event/7a5f0777,event/31475e77,PERCEPTION_SHIFT,The odd idea alters the narrator's perception of the inscription.,0.7,0.8
event/d83c9303,event/3a80d581,EMOTIONAL_TRIGGER,The speaker's reference triggered feelings of helplessness.,0.7,0.8
event/4e4735ab,event/93908411,EMOTIONAL_TRIGGER,Glaring can provoke a growl as a response.,0.7,0.8
event/4d492d90,event/1802e08c,PRECEDES,Pointing indicates direction before seeing the steeple.,0.8,0.9
event/7674fd0b,event/e3ce79f1,PERCEPTION_SHIFT,Observation led to a change in the narrator's perception of the beacon.,0.8,0.85
event/60ee9681,event/43bcb6ef,PHYSICAL_DETERIORATION,Briars caused physical injury leading to limping.,0.8,0.9
event/da957808,event/66940d31,EMOTIONAL_TRIGGER,Holding onto the tombstone triggered his action.,0.8,0.85
event/73ef5f36,event/cf519e83,EMOTIONAL_TRIGGER,The boy's comfort triggers the narrator's protective instincts.,0.7,0.8
event/72d4013c,event/551fcc32,PHYSICAL_ACTION,The limp indicates a physical action affecting his movement.,0.8,0.9
event/472f7ead,event/9b820157,PHYSICAL_ACTION,The tilting action induces fear in the narrator.,0.8,0.85
event/e03b7025,event/dd507b69,PRECEDES,Naming the family name comes before revealing the father's burial.,0.8,0.9
event/b1a47ed2,event/54497bfd,EMOTIONAL_TRIGGER,The river's imagery evokes a sudden emotional response in the man.,0.7,0.8
event/d3581bfa,event/fa585dbd,PREVENTS,Locking the door prevents the young man from entering.,0.8,0.9
event/9f2fbb8c,event/92dc74d9,EMOTIONAL_TRIGGER,The narrator's perception triggered Pip's fear and emotional response.,0.8,0.85
event/67e5ad2b,event/6c6aba38,EMOTIONAL_TRIGGER,Weakness in the narrator triggers a threatening response from the man.,0.7,0.8
event/7335f94f,event/53a8df5d,EMOTIONAL_TRIGGER,The man's intense gaze prompts a question about understanding.,0.7,0.8
event/f052e150,event/d8205350,PHYSICAL_ACTION,Tilting caused a physical sensation of danger.,0.8,0.9
event/4142d1d4,event/a0a78fa3,PHYSICAL_DETERIORATION,Broken shoes likely led to mud accumulation.,0.7,0.8
event/7a5f0777,event/69ebf212,IMAGINARY_CONSTRUCTION,Narrator's perception shapes an imagined image of his father.,0.8,0.85
event/5624f7e6,event/29562b8e,CULTURAL_EDUCATION,"The arrangement symbolizes respect, leading to a reflective belief.",0.7,0.8
event/2a78aa1e,event/e420ea7a,PHYSICAL_ACTION,The boy's warmth prompts him to adjust his clothes.,0.8,0.9
event/4a853fd7,event/74763c3e,PRECEDES,Looking for someone typically occurs before continuing an action.,0.8,0.85
event/479606d4,event/98750389,EMOTIONAL_TRIGGER,Death triggers reflection on surroundings and emotions.,0.8,0.9
event/98750389,event/0b871d5a,PERCEPTION_SHIFT,Change in narrator's view of the landscape.,0.8,0.9
event/72d4013c,event/0a6e3f75,EMOTIONAL_TRIGGER,"The limp suggests vulnerability, evoking imagery of death.",0.7,0.8
event/791fb243,event/01b45407,PHYSICAL_ACTION,Seizing indicates a physical action leading to a gaze.,0.7,0.8
event/fa585dbd,event/b05b9034,PREVENTS,Locking the door prevents external disturbances while tucking in.,0.8,0.9
event/d83c9303,event/97eb5c67,CONFUSES,The phrase may create ambiguity in understanding the speaker's intent.,0.7,0.8
event/cf519e83,event/36504ca4,PHYSICAL_BLOCKAGE,Narrator struggles to physically prevent the young man's approach.,0.8,0.9
event/97eb5c67,event/f10afe12,HUMANITY_QUESTIONING,Considering leads to questioning the value of life.,0.8,0.75
event/aac65812,event/7674fd0b,PRECEDES,The marshes' appearance leads to the narrator's observation of the beacon.,0.8,0.85
event/4b2b7b04,event/330900e1,PHYSICAL_ACTION,The rag indicates a response to an injury from flints.,0.8,0.85
event/5471ff4f,event/27304873,EMOTIONAL_TRIGGER,Describing the marsh triggers reflection on past impressions.,0.8,0.85
event/afa43b06,event/1aa70bc2,EMOTIONAL_CONFESSION,The convict's revelation leads to a self-reflective comparison.,0.7,0.8
event/74763c3e,event/83becb47,PRECEDES,"Event A occurs before Event B, prompting the narrator's action.",0.8,0.9
event/01b45407,event/50e1756f,EMOTIONAL_TRIGGER,The man's gaze evokes a collective awakening in the church.,0.7,0.8
event/afa43b06,event/d3581bfa,EMOTIONAL_TRIGGER,The convict's revelation triggers fear in the boy.,0.7,0.8
event/ad3c2706,event/29ac16ba,EMOTIONAL_TRIGGER,The narrator's emotional state triggers a reaction in the cattle.,0.7,0.8
event/bb677293,event/eecb67a7,NAMING_CONVENTION,Family name influences narrator's identity and self-perception.,0.8,0.9
event/93a78db4,event/c4406c70,EMOTIONAL_TRIGGER,His stopping triggered the speaker's timidity in explanation.,0.7,0.8
event/8d9c7b4d,event/01b45407,LISTENING_STIMULATION,The instruction prompted the man's attention towards the speaker.,0.7,0.8
event/7674fd0b,event/6eb6b4b4,IMAGINARY_CONSTRUCTION,The beacon triggers the narrator's imaginative interpretation of the man.,0.8,0.85
event/4e4735ab,event/775a9234,EMOTIONAL_TRIGGER,"The glare induces fear or anxiety, causing physical reaction.",0.7,0.8
event/555154c1,event/0b21f30f,EMOTIONAL_TRIGGER,The exclamation likely prompted his return.,0.7,0.8
event/04cffd6d,event/e3ce79f1,CONTRASTS,The narrator's perception shifts from vague to negative.,0.7,0.8
event/cde886cd,event/01a87a42,CONVENIENCE_PREFERENCE,Distance influences the man's decision to rob.,0.7,0.8
event/6cab01b7,event/c8ef63d9,PHYSICAL_ACTION,The man's approach led to a physical interaction with the narrator.,0.8,0.85
event/aac65812,event/eeb8d1cf,CONTRASTS,Both elements are compared as horizontal lines in the landscape.,0.8,0.9
event/0d398d62,event/45b40fde,FAMILY_BACKGROUND_REACTION,Sister's identity influences narrator's perception of parents.,0.7,0.8
event/b17d766f,event/dd507b69,IDENTITY_CONFLICT,Pip's self-identification contrasts with his familial background.,0.7,0.8
event/a40bbbe5,event/c15c5023,EMOTIONAL_TRIGGER,The speaker's plea evokes a strong emotional response in the man.,0.8,0.75
event/971a9be1,event/9331dec2,EMOTIONAL_CONTAGION,Emotional state influences physical actions and sensations.,0.7,0.8
event/68c6b052,event/f052e150,EMOTIONAL_TRIGGER,The narrator's helplessness prompts the man's action.,0.8,0.85
event/1aa70bc2,event/fa585dbd,EMOTIONAL_TRIGGER,"The convict's statement triggers the boy's fear, prompting him to lock the door.",0.8,0.85
event/9b820157,event/5004b332,EMOTIONAL_TRIGGER,Fear can lead to unexpected feelings of euphoria.,0.7,0.8
event/98750389,event/9f2fbb8c,PERCEPTION_SHIFT,Change in perception from wilderness to lair indicates a shift in focus.,0.7,0.8
event/1150011f,event/d83735eb,COMMUNICATION_BARRIER,The conversation may have highlighted a disconnect in understanding.,0.7,0.8
event/d83735eb,event/7e04e8df,EMOTIONAL_TRIGGER,The reminder evokes a reflective emotional state in the listener.,0.7,0.8
