:ID,name,actionType,source_quote,confidence,sequence,chapter,time,location,scene_id,theme_POWER_involvement,theme_POWER_role,theme_POWER_confidence,theme_POWER_evidence,theme_WEALTH_involvement,theme_WEALTH_role,theme_WEALTH_confidence,theme_WEALTH_evidence,theme_KINSHIP_involvement,theme_KINSHIP_role,theme_KINSHIP_confidence,theme_KINSHIP_evidence,theme_JUSTICE_involvement,theme_JUSTICE_role,theme_JUSTICE_confidence,theme_JUSTICE_evidence,theme_KNOWLEDGE_involvement,theme_KNOWLEDGE_role,theme_KNOWLEDGE_confidence,theme_KNOWLEDGE_evidence,theme_annotations_raw
event/bf96f55d,"Abel Magwitch demanded Philip Pirrip's name, saying, ""Tell us your name! Quick!""",ACTION_TENSION,,0.9,22,1,A memorable raw afternoon towards evening,Churchyard,,direct,initiating,0.88,"""demanded Philip Pirrip's name""; ""Tell us your name! Quick!"" — an explicit coercive command.",none,,0.0,,none,,0.0,,none,,0.0,,indirect,enabling,0.62,"""Tell us your name!"" sets up the compelled disclosure of information.","{""KNOWLEDGE"": {""involvement"": ""indirect"", ""role"": ""enabling"", ""evidence"": ""\""Tell us your name!\"" sets up the compelled disclosure of information."", ""signals"": [""Tell us your name"", ""demanded"", ""name""], ""confidence"": 0.62}, ""JUSTICE"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""WEALTH"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""KINSHIP"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""POWER"": {""involvement"": ""direct"", ""role"": ""initiating"", ""evidence"": ""\""demanded Philip Pirrip's name\""; \""Tell us your name! Quick!\"" \u2014 an explicit coercive command."", ""signals"": [""demanded"", ""Tell us your name"", ""Quick"", ""name""], ""confidence"": 0.88}}"
event/66630aec,"Philip Pirrip answered, ""Pip, sir.""",ACKNOWLEDGMENT,,0.9,23,1,A memorable raw afternoon towards evening,Churchyard,,none,,0.0,,none,,0.0,,none,,0.0,,none,,0.0,,direct,revealing,0.9,"Philip Pirrip answered, ""Pip, sir.""","{""KNOWLEDGE"": {""involvement"": ""direct"", ""role"": ""revealing"", ""evidence"": ""Philip Pirrip answered, \""Pip, sir.\"""", ""signals"": [""answers with his name"", ""identity disclosed"", ""\""Pip, sir\"""", ""information provided to another""], ""confidence"": 0.9}, ""JUSTICE"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""WEALTH"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""KINSHIP"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""POWER"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}}"
event/2812a7db,"Abel Magwitch ordered Philip Pirrip to repeat his name, staring at him: ""Once more. Give it mouth!""",ACTION_TENSION,,0.9,24,1,A memorable raw afternoon towards evening,Churchyard,,direct,escalating,0.9,"Abel Magwitch ordered Philip Pirrip to repeat his name: ""Once more. Give it mouth!"" The command and stare exert coercive pressure that compels compliance.",none,,0.0,,none,,0.0,,none,,0.0,,indirect,enabling,0.62,"He orders Pip to repeat his name, setting up the immediate transmission of that information in the next event.","{""KNOWLEDGE"": {""involvement"": ""indirect"", ""role"": ""enabling"", ""evidence"": ""He orders Pip to repeat his name, setting up the immediate transmission of that information in the next event."", ""signals"": [""ordered to repeat his name"", ""interrogation"", ""compels verbal response""], ""confidence"": 0.62}, ""JUSTICE"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""WEALTH"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""KINSHIP"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""POWER"": {""involvement"": ""direct"", ""role"": ""escalating"", ""evidence"": ""Abel Magwitch ordered Philip Pirrip to repeat his name: \""Once more. Give it mouth!\"" The command and stare exert coercive pressure that compels compliance."", ""signals"": [""ordered"", ""Once more"", ""Give it mouth!"", ""staring at him""], ""confidence"": 0.9}}"
event/bd312622,"Philip Pirrip repeated, ""Pip. Pip, sir.""",ACKNOWLEDGMENT,,0.9,25,1,A memorable raw afternoon towards evening,Churchyard,,indirect,resolving,0.7,"He complies with the convict's order: ""Philip Pirrip repeated, 'Pip. Pip, sir.'"" This answers the prior command, ""Once more. Give it mouth!""",none,,0.0,,none,,0.0,,none,,0.0,,direct,revealing,0.78,"""Philip Pirrip repeated, 'Pip. Pip, sir.'"" The explicit statement of his name conveys/clarifies his identity to the other party.","{""KNOWLEDGE"": {""involvement"": ""direct"", ""role"": ""revealing"", ""evidence"": ""\""Philip Pirrip repeated, 'Pip. Pip, sir.'\"" The explicit statement of his name conveys/clarifies his identity to the other party."", ""signals"": [""name stated"", ""identity confirmation"", ""repeat for clarity""], ""confidence"": 0.78}, ""JUSTICE"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""WEALTH"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""KINSHIP"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""POWER"": {""involvement"": ""indirect"", ""role"": ""resolving"", ""evidence"": ""He complies with the convict's order: \""Philip Pirrip repeated, 'Pip. Pip, sir.'\"" This answers the prior command, \""Once more. Give it mouth!\"""", ""signals"": [""compliance"", ""repeat on command"", ""sir"", ""threat-backed order (prior)""], ""confidence"": 0.7}}"
event/11e59813,"Abel Magwitch ordered, ""Show us where you live. Pint out the place!""",ACTION_TENSION,,0.9,26,1,A memorable raw afternoon towards evening,Churchyard,,direct,escalating,0.9,"“Abel Magwitch ordered, ‘Show us where you live. Pint out the place!’” The explicit order constrains the boy to comply.",none,,0.0,,none,,0.0,,none,,0.0,,indirect,enabling,0.6,"He orders the boy to indicate his home location, setting up the revelation of that information.","{""KNOWLEDGE"": {""involvement"": ""indirect"", ""role"": ""enabling"", ""evidence"": ""He orders the boy to indicate his home location, setting up the revelation of that information."", ""signals"": [""Show us where you live"", ""Point out the place""], ""confidence"": 0.6}, ""JUSTICE"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""WEALTH"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""KINSHIP"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""POWER"": {""involvement"": ""direct"", ""role"": ""escalating"", ""evidence"": ""\u201cAbel Magwitch ordered, \u2018Show us where you live. Pint out the place!\u2019\u201d The explicit order constrains the boy to comply."", ""signals"": [""ordered"", ""Show us where you live"", ""Point out the place"", ""explicit command""], ""confidence"": 0.9}}"
event/b884f738,"Philip Pirrip pointed toward his village on the flat in-shore among the alder-trees and pollards, a mile or more from the church.",ACKNOWLEDGMENT,,0.9,27,1,A memorable raw afternoon towards evening,Churchyard (pointing toward the village),,none,,0.0,,none,,0.0,,none,,0.0,,none,,0.0,,direct,revealing,0.78,"Philip Pirrip ""pointed toward his village ... a mile or more from the church,"" indicating its location.","{""KNOWLEDGE"": {""involvement"": ""direct"", ""role"": ""revealing"", ""evidence"": ""Philip Pirrip \""pointed toward his village ... a mile or more from the church,\"" indicating its location."", ""signals"": [""pointed toward"", ""his village"", ""location indicated"", ""a mile or more from the church""], ""confidence"": 0.78}, ""JUSTICE"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""WEALTH"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""KINSHIP"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""POWER"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}}"
event/d5ecc23e,Abel Magwitch turned Philip Pirrip upside down and emptied Philip Pirrip's pockets.,ACTION_TENSION,,0.9,28,1,A memorable raw afternoon towards evening,Churchyard,,direct,initiating,0.9,"""turned Philip Pirrip upside down"" and ""emptied Philip Pirrip's pockets"" show physical coercion and control.",direct,initiating,0.72,"""emptied Philip Pirrip's pockets"" indicates seizure/control of his goods.",none,,0.0,,direct,initiating,0.8,"""turned ... upside down and emptied ... pockets"" constitutes assault and robbery, a legal violation.",none,,0.0,,"{""KNOWLEDGE"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""JUSTICE"": {""involvement"": ""direct"", ""role"": ""initiating"", ""evidence"": ""\""turned ... upside down and emptied ... pockets\"" constitutes assault and robbery, a legal violation."", ""signals"": [""turned him upside down"", ""emptied his pockets"", ""robbery/assault""], ""confidence"": 0.8}, ""WEALTH"": {""involvement"": ""direct"", ""role"": ""initiating"", ""evidence"": ""\""emptied Philip Pirrip's pockets\"" indicates seizure/control of his goods."", ""signals"": [""emptied his pockets"", ""seized contents"", ""control of property""], ""confidence"": 0.72}, ""KINSHIP"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""POWER"": {""involvement"": ""direct"", ""role"": ""initiating"", ""evidence"": ""\""turned Philip Pirrip upside down\"" and \""emptied Philip Pirrip's pockets\"" show physical coercion and control."", ""signals"": [""turned him upside down"", ""emptied his pockets"", ""physical coercion"", ""control over body/possessions""], ""confidence"": 0.9}}"
event/6c758760,Abel Magwitch placed Philip Pirrip on a high tombstone.,ACTION_TENSION,,0.86,29,1,A memorable raw afternoon towards evening,On a high tombstone in the churchyard,,direct,initiating,0.82,"""Abel Magwitch placed Philip Pirrip on a high tombstone"" to immobilize him, physically restricting Philip's movement.",none,,0.0,,none,,0.0,,none,,0.0,,none,,0.0,,"{""KNOWLEDGE"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""JUSTICE"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""WEALTH"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""KINSHIP"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""POWER"": {""involvement"": ""direct"", ""role"": ""initiating"", ""evidence"": ""\""Abel Magwitch placed Philip Pirrip on a high tombstone\"" to immobilize him, physically restricting Philip's movement."", ""signals"": [""placed on a high tombstone"", ""to immobilize"", ""control of Philip's body"", ""physical restraint""], ""confidence"": 0.82}}"
event/1f73f96c,Abel Magwitch ate the bread ravenously.,ADAPTATION_TO_CHANGE,,0.9,30,1,A memorable raw afternoon towards evening,Churchyard,,none,,0.0,,none,,0.0,,none,,0.0,,none,,0.0,,none,,0.0,,"{""KNOWLEDGE"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""JUSTICE"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""WEALTH"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""KINSHIP"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""POWER"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}}"
event/3c7cdbd2,Philip Pirrip trembled on the tombstone while Abel Magwitch ate.,CHARACTER_EMOTION_SPIKE,,0.9,31,1,A memorable raw afternoon towards evening,On a high tombstone in the churchyard,,none,,0.0,,none,,0.0,,none,,0.0,,none,,0.0,,none,,0.0,,"{""KNOWLEDGE"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""JUSTICE"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""WEALTH"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""KINSHIP"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""POWER"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}}"
event/23a043b6,"Abel Magwitch taunted Philip Pirrip about his fat cheeks, licking his lips.",ACTION_TENSION,,0.9,32,1,A memorable raw afternoon towards evening,Churchyard,,latent,escalating,0.4,"He ""taunted Philip Pirrip about his fat cheeks, licking his lips,"" heightening intimidation without issuing a command.",none,,0.0,,none,,0.0,,none,,0.0,,none,,0.0,,"{""KNOWLEDGE"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""JUSTICE"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""WEALTH"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""KINSHIP"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""POWER"": {""involvement"": ""latent"", ""role"": ""escalating"", ""evidence"": ""He \""taunted Philip Pirrip about his fat cheeks, licking his lips,\"" heightening intimidation without issuing a command."", ""signals"": [""taunted"", ""licking his lips"", ""mockery"", ""intimidation""], ""confidence"": 0.4}}"
event/0942097e,"Abel Magwitch threatened that he could eat Philip Pirrip's cheeks, shaking his head.",ACTION_TENSION,,0.9,33,1,A memorable raw afternoon towards evening,Churchyard,,direct,initiating,0.9,Abel Magwitch threatened that he could eat Philip Pirrip's cheeks.,none,,0.0,,none,,0.0,,none,,0.0,,direct,revealing,0.7,"He ""threatened that he could eat Philip Pirrip's cheeks,"" conveying the harm Pip risks.","{""KNOWLEDGE"": {""involvement"": ""direct"", ""role"": ""revealing"", ""evidence"": ""He \""threatened that he could eat Philip Pirrip's cheeks,\"" conveying the harm Pip risks."", ""signals"": [""threatened"", ""states potential harm"", ""warns of consequence"", ""communication of threat""], ""confidence"": 0.7}, ""JUSTICE"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""WEALTH"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""KINSHIP"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""POWER"": {""involvement"": ""direct"", ""role"": ""initiating"", ""evidence"": ""Abel Magwitch threatened that he could eat Philip Pirrip's cheeks."", ""signals"": [""threatened"", ""could eat his cheeks"", ""intimidation"", ""coercion""], ""confidence"": 0.9}}"
event/e9fb8bb5,Philip Pirrip pleaded that Abel Magwitch should not eat his cheeks.,ACTION_TENSION,,0.88,34,1,A memorable raw afternoon towards evening,On a high tombstone in the churchyard,,none,,0.0,,none,,0.0,,none,,0.0,,none,,0.0,,none,,0.0,,"{""KNOWLEDGE"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""JUSTICE"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""WEALTH"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""KINSHIP"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""POWER"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}}"
event/dd32a2bc,Philip Pirrip clutched the tombstone to keep his balance and to keep from crying.,CHARACTER_EMOTION_SPIKE,,0.9,35,1,A memorable raw afternoon towards evening,On a high tombstone in the churchyard,,none,,0.0,,none,,0.0,,none,,0.0,,none,,0.0,,none,,0.0,,"{""KNOWLEDGE"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""JUSTICE"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""WEALTH"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""KINSHIP"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""POWER"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}}"
event/9d8e379e,"Abel Magwitch demanded, ""Where’s your mother?""",ACTION_TENSION,,0.9,36,1,A memorable raw afternoon towards evening,Churchyard,,direct,initiating,0.7,"He ""demanded"" information: ""Where’s your mother?""",none,,0.0,,direct,initiating,0.9,"The line invokes a family tie: ""Where’s your mother?""",none,,0.0,,none,,0.0,,"{""KNOWLEDGE"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""JUSTICE"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""WEALTH"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""KINSHIP"": {""involvement"": ""direct"", ""role"": ""initiating"", ""evidence"": ""The line invokes a family tie: \""Where\u2019s your mother?\"""", ""signals"": [""your mother"", ""invokes family tie"", ""kinship term used""], ""confidence"": 0.9}, ""POWER"": {""involvement"": ""direct"", ""role"": ""initiating"", ""evidence"": ""He \""demanded\"" information: \""Where\u2019s your mother?\"""", ""signals"": [""demanded"", ""interrogation"", ""question as command"", ""seeking compliance""], ""confidence"": 0.7}}"
event/7038d8e5,"Philip Pirrip pointed and answered, ""There, sir!"" (indicating his mother's grave).",ACKNOWLEDGMENT,,0.88,37,1,A memorable raw afternoon towards evening,Churchyard,,none,,0.0,,none,,0.0,,direct,revealing,0.9,"He pointed ""(indicating his mother's grave)"", explicitly invoking the mother–child tie.",none,,0.0,,direct,revealing,0.68,"By pointing and saying ""There, sir!"" he discloses to the other party the location/status of his mother (her grave).","{""KNOWLEDGE"": {""involvement"": ""direct"", ""role"": ""revealing"", ""evidence"": ""By pointing and saying \""There, sir!\"" he discloses to the other party the location/status of his mother (her grave)."", ""signals"": [""pointed"", ""answered"", ""There, sir!"", ""indicating his mother's grave""], ""confidence"": 0.68}, ""JUSTICE"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""WEALTH"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""KINSHIP"": {""involvement"": ""direct"", ""role"": ""revealing"", ""evidence"": ""He pointed \""(indicating his mother's grave)\"", explicitly invoking the mother\u2013child tie."", ""signals"": [""mother's grave"", ""indicating"", ""There, sir!"", ""pointed""], ""confidence"": 0.9}, ""POWER"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}}"
event/9c9b9b15,"Abel Magwitch started, made a short run, then stopped and looked over his shoulder.",ACTION_TENSION,,0.86,38,1,A memorable raw afternoon towards evening,Churchyard,,none,,0.0,,none,,0.0,,none,,0.0,,none,,0.0,,none,,0.0,,"{""KNOWLEDGE"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""JUSTICE"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""WEALTH"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""KINSHIP"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""POWER"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}}"
event/390241c8,"Philip Pirrip timidly clarified, ""Also Georgiana. That’s my mother.""",ACKNOWLEDGMENT,,0.87,39,1,A memorable raw afternoon towards evening,Churchyard,,none,,0.0,,none,,0.0,,direct,revealing,0.9,"""Also Georgiana. That’s my mother."" This explicitly invokes the mother–child tie.",none,,0.0,,direct,revealing,0.7,"He states, ""Also Georgiana. That’s my mother,"" disclosing his mother's name and relation.","{""KNOWLEDGE"": {""involvement"": ""direct"", ""role"": ""revealing"", ""evidence"": ""He states, \""Also Georgiana. That\u2019s my mother,\"" disclosing his mother's name and relation."", ""signals"": [""clarified"", ""Also Georgiana"", ""That's my mother"", ""discloses name""], ""confidence"": 0.7}, ""JUSTICE"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""WEALTH"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""KINSHIP"": {""involvement"": ""direct"", ""role"": ""revealing"", ""evidence"": ""\""Also Georgiana. That\u2019s my mother.\"" This explicitly invokes the mother\u2013child tie."", ""signals"": [""That's my mother"", ""Also Georgiana"", ""clarified""], ""confidence"": 0.9}, ""POWER"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}}"
event/94901495,Abel Magwitch came back to Philip Pirrip.,ARRIVAL,,0.85,40,1,A memorable raw afternoon towards evening,Churchyard (near the tombstone),,indirect,enabling,0.55,"""Abel Magwitch came back to Philip Pirrip."" The stated purpose is ""Resume interrogation,"" positioning him to exert coercive questioning.",none,,0.0,,none,,0.0,,none,,0.0,,indirect,enabling,0.58,"""Abel Magwitch came back to Philip Pirrip."" The note ""Resume interrogation"" indicates the return sets up information extraction.","{""KNOWLEDGE"": {""involvement"": ""indirect"", ""role"": ""enabling"", ""evidence"": ""\""Abel Magwitch came back to Philip Pirrip.\"" The note \""Resume interrogation\"" indicates the return sets up information extraction."", ""signals"": [""came back"", ""resume interrogation"", ""interrogation""], ""confidence"": 0.58}, ""JUSTICE"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""WEALTH"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""KINSHIP"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""POWER"": {""involvement"": ""indirect"", ""role"": ""enabling"", ""evidence"": ""\""Abel Magwitch came back to Philip Pirrip.\"" The stated purpose is \""Resume interrogation,\"" positioning him to exert coercive questioning."", ""signals"": [""came back"", ""to Philip Pirrip"", ""resume interrogation""], ""confidence"": 0.55}}"
event/890c4308,Abel Magwitch asked if Philip Pirrip's father was with his mother.,ACTION_TENSION,,0.9,41,1,A memorable raw afternoon towards evening,Churchyard,,none,,0.0,,none,,0.0,,direct,initiating,0.62,"He ""asked if Philip Pirrip's father was with his mother,"" explicitly invoking the parental relationship.",none,,0.0,,latent,enabling,0.38,"By asking ""if Philip Pirrip's father was with his mother,"" Magwitch signals an information-seeking move, setting up potential revelation.","{""KNOWLEDGE"": {""involvement"": ""latent"", ""role"": ""enabling"", ""evidence"": ""By asking \""if Philip Pirrip's father was with his mother,\"" Magwitch signals an information-seeking move, setting up potential revelation."", ""signals"": [""interrogation"", ""asked"", ""if father was with his mother""], ""confidence"": 0.38}, ""JUSTICE"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""WEALTH"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""KINSHIP"": {""involvement"": ""direct"", ""role"": ""initiating"", ""evidence"": ""He \""asked if Philip Pirrip's father was with his mother,\"" explicitly invoking the parental relationship."", ""signals"": [""father"", ""mother"", ""asked if ... was with ..."", ""parental relationship invoked""], ""confidence"": 0.62}, ""POWER"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}}"
event/a1ef9dc1,"Philip Pirrip confirmed his father was there too, late of the parish.",ACKNOWLEDGMENT,,0.88,42,1,A memorable raw afternoon towards evening,Churchyard,,latent,mediating,0.6,"Compliance under threat; he ""confirmed"" the demanded fact, indicating his speech was constrained by coercion.",none,,0.0,,direct,revealing,0.86,"He ""confirmed his father was there too, late of the parish,"" explicitly invoking the father–child tie (and its loss).",none,,0.0,,direct,revealing,0.88,"He ""confirmed his father was there too,"" conveying new information to Magwitch about his parentage/status.","{""KNOWLEDGE"": {""involvement"": ""direct"", ""role"": ""revealing"", ""evidence"": ""He \""confirmed his father was there too,\"" conveying new information to Magwitch about his parentage/status."", ""signals"": [""confirmed"", ""disclosed"", ""his father was there"", ""to Magwitch""], ""confidence"": 0.88}, ""JUSTICE"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""WEALTH"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""KINSHIP"": {""involvement"": ""direct"", ""role"": ""revealing"", ""evidence"": ""He \""confirmed his father was there too, late of the parish,\"" explicitly invoking the father\u2013child tie (and its loss)."", ""signals"": [""his father"", ""confirmed"", ""late of the parish"", ""there too""], ""confidence"": 0.86}, ""POWER"": {""involvement"": ""latent"", ""role"": ""mediating"", ""evidence"": ""Compliance under threat; he \""confirmed\"" the demanded fact, indicating his speech was constrained by coercion."", ""signals"": [""Compliance under threat"", ""confirmed"", ""coerced compliance"", ""Magwitch present""], ""confidence"": 0.6}}"
event/7cedf3fe,Abel Magwitch muttered and considered.,CONTEMPLATION,,0.83,43,1,A memorable raw afternoon towards evening,Churchyard,,none,,0.0,,none,,0.0,,none,,0.0,,none,,0.0,,none,,0.0,,"{""KNOWLEDGE"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""JUSTICE"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""WEALTH"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""KINSHIP"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""POWER"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}}"
